emperor_label	wikidata_uri	victory_title	number	title_is_uncertain	not_before	not_after	time_span_end	date_is_uncertain	comment	godot_uri		
Galerius	https://www.wikidata.org/wiki/Q172168	Germanicus max.	3		0302		0303			https://godot.date/id/CbiaUKNyuF6GhiYWiaNVm6		
Galerius	https://www.wikidata.org/wiki/Q172168	Germanicus max.	4		0303		0304			https://godot.date/id/ZRAabe9iUrZDVKebgAkuE6		
Galerius	https://www.wikidata.org/wiki/Q172168	Germanicus max.	5		0304		0307			https://godot.date/id/hTXxcRW6dcy9jFWkQgAtCc		
Galerius	https://www.wikidata.org/wiki/Q172168	Carpicus max.	2		0301		0302			https://godot.date/id/oeVUQ6JxJnAsFGqAKSbKw9		
Galerius	https://www.wikidata.org/wiki/Q172168	Carpicus max.	3		0302		0303			https://godot.date/id/bs8vfKVkYh6qevzQeofKaT		
Galerius	https://www.wikidata.org/wiki/Q172168	Carpicus max.	4		0303		0304			https://godot.date/id/UmDbS2PNduYKRYt24biJh5		
Galerius	https://www.wikidata.org/wiki/Q172168	Carpicus max.	5		0304		0308			https://godot.date/id/vn9p6jtWYEaTN85JJswegX		
Galerius	https://www.wikidata.org/wiki/Q172168	Sarmaticus max.	3		0302		0307	TRUE		https://godot.date/id/pB3MjE5RTyNsimCJQhyqBC		
Galerius	https://www.wikidata.org/wiki/Q172168	Britannicus max.	2		0305		0311-05			https://godot.date/id/tpzcxXFXbyMDw77yzxb2dG		
Galerius	https://www.wikidata.org/wiki/Q172168	Sarmaticus max.	4		0306	0307	0310	TRUE		https://godot.date/id/mruGjrFtsahP7QYYJPUNVi		
Galerius	https://www.wikidata.org/wiki/Q172168	Germanicus max.	6		0307		0308			https://godot.date/id/jjVdy7yPMuvXPSXL4N22Pc		
Galerius	https://www.wikidata.org/wiki/Q172168	Germanicus max.	7		0308		0311-05			https://godot.date/id/yntkbv8J2xR6oxNg2nijrH		
Galerius	https://www.wikidata.org/wiki/Q172168	Carpicus max.	6		0308	0309	0311-05	TRUE		https://godot.date/id/h3LuzXM5LXdCPMqtNBC2E3		
Galerius	https://www.wikidata.org/wiki/Q172168	Sarmaticus max.	5		0310		0311-05			https://godot.date/id/Fe4e8cyekDYkByCoxp89pn		
Galerius	https://www.wikidata.org/wiki/Q172168	Persicus max.	3		0310		0311-05			https://godot.date/id/6mfPJudiJ3Gpu7BCymwCXZ		
Galerius	https://www.wikidata.org/wiki/Q172168	Gothicus max.	1		0293		0311-05	TRUE	ca. 293; after 296/7 AD not used	https://godot.date/id/oX9zMZTyfRAryWAHFa7wK9		
Maximinus Daia	https://www.wikidata.org/wiki/Q189095	Sarmaticus	1		0313		0313	TRUE		https://godot.date/id/rJExZUV7Jjn6qXkTn3o8aV		
Maximinus Daia	https://www.wikidata.org/wiki/Q189095	Germanicus	1		0313		0313	TRUE		https://godot.date/id/MjVGoBD4tJJd5K4RccVVvd		
Maximinus Daia	https://www.wikidata.org/wiki/Q189095	Persicus	1		0312		0313	TRUE		https://godot.date/id/daekqhhvcSYtGuKFm6xQDk		
Licinius	https://www.wikidata.org/wiki/Q184549	Germanicus	1			0310	0324-09-19			https://godot.date/id/zJHA5RYLwFwNQiPsbXBNwQ		
