emperor_label	wikidata_uri	consulate	number	title_is_uncertain	not_before	not_after	time_span_end	date_is_uncertain	comment	godot_uri	part_of_consulate		
Vespasian	https://www.wikidata.org/wiki/Q1419	cos. suff.	1		0051-11-01	0051-12-31	0069-12-21			https://godot.date/id/ZyL5iizDnJG9gNgqxAJDvR	https://godot.date/id/E2TTeVxD4C6uGFpbzNQWRH		
Vespasian	https://www.wikidata.org/wiki/Q1419	cos. design.	2		0069-12-21		0070-01-01			https://godot.date/id/dpYfKCVa72Va6VZ6R5t6G7			
Vespasian	https://www.wikidata.org/wiki/Q1419	cos.	2		0070-01-01	0070-06	0070-10			https://godot.date/id/NrgbZAGtJPhNutUAobnpGa	https://godot.date/id/cTK3AuzzsRW3iW9L44ZgvX		
Vespasian	https://www.wikidata.org/wiki/Q1419	cos. design.	3		0070-10		0071-01-01			https://godot.date/id/t9fgHGhouGSwXQhAcbF6zi			
Vespasian	https://www.wikidata.org/wiki/Q1419	cos.	3		0071-01-01	0071-02	0071-03			https://godot.date/id/X5LJgNJqiSaqfiovSYKwRa	https://godot.date/id/t6mAC33sNRt9z8APpg5QGA		
Vespasian	https://www.wikidata.org/wiki/Q1419	cos. design.	4		0071-03	 	0072-01-01		since mid March 71 AD	https://godot.date/id/Twpyngd69AKz8xsvK8BRvg			
Vespasian	https://www.wikidata.org/wiki/Q1419	cos.	4		0072-01-01	0072-04	0073-03			https://godot.date/id/odHYhPSxEiMenH45yXEiXJ	https://godot.date/id/iXQxs2PjpRsTrWYz3HicWY		
Vespasian	https://www.wikidata.org/wiki/Q1419	cos. design.	5		0073-03		0074-01-01		since mid March 73 AD	https://godot.date/id/PfX4ygZMexgoQBM7tgScWN			
Vespasian	https://www.wikidata.org/wiki/Q1419	cos.	5		0074-01-01	0074-01-13	0074-03			https://godot.date/id/8F4HCMSs2P5z5kDfSQEPfB	https://godot.date/id/oGmdmogCnQSL5v9SysBkiZ		
Vespasian	https://www.wikidata.org/wiki/Q1419	cos. design.	6		0074-03		0075-01-01		since mid March 74 AD	https://godot.date/id/SP3GgPnRHLgezsSWXpGYu5			
Vespasian	https://www.wikidata.org/wiki/Q1419	cos.	6		0075-01-01	0075-01-13	0075-03	TRUE	maybe until Feb. 75 AD	https://godot.date/id/JnAghSMvMgDzjpt76WmDCZ	https://godot.date/id/jKCvabXy2uDvv6pdtaZB5Z		
Vespasian	https://www.wikidata.org/wiki/Q1419	cos. design.	7		0075-03		0076-01-01		since mid March 75 AD	https://godot.date/id/mgKmoydeJPxyCKrShdcgmm			
Vespasian	https://www.wikidata.org/wiki/Q1419	cos.	7		0076-01-01	0076-01-13	0076-03	TRUE	maybe until Feb. 76 AD	https://godot.date/id/6gE49zazfhZCafVobF4VPB	https://godot.date/id/JBUaCL2RZ4N47RXhViXmqM		
Vespasian	https://www.wikidata.org/wiki/Q1419	cos. design.	8		0076-03		0077-01-01		since mid March 76 AD	https://godot.date/id/WiRQPqN7uqwxbX5BYasaQB			
Vespasian	https://www.wikidata.org/wiki/Q1419	cos.	8		0077-01-01	0077-01-13	0078-03	TRUE	maybe until Feb. 77 AD	https://godot.date/id/SeuWdSSvaw3LjfDReuX6M6	https://godot.date/id/FPQ3ZKfaoAK7kwQU7tdG6W		
Vespasian	https://www.wikidata.org/wiki/Q1419	cos. design.	9		0078-03		0079-01-01	TRUE	since mid March 78 AD	https://godot.date/id/Qu8w9RNgDm9fcthA4beZe7			
Vespasian	https://www.wikidata.org/wiki/Q1419	cos.	9		0079-01-01	0079-01-13	0079-03			https://godot.date/id/s65BCqYSzXQeTxVtq5WKg6	https://godot.date/id/UqcND4ooSwRQHphKQs6r7X		
Vespasian	https://www.wikidata.org/wiki/Q1419	cos. design.	10		0079-03		0079-06-23		since mid March 79 AD	https://godot.date/id/eWtyzquoVWyPTbsjb7zvGa			
Titus	https://www.wikidata.org/wiki/Q1421	cos. design.	1		0069-12-21		0070-01-01			https://godot.date/id/ZKNC5EfqVeiVcoiVvBYgBZ			
Titus	https://www.wikidata.org/wiki/Q1421	cos.	1		0070-01-01	0070-06	0071-03		until end of June 70 AD	https://godot.date/id/2vtmxsKdzEFpoiKZXjK8LR	https://godot.date/id/cTK3AuzzsRW3iW9L44ZgvX		
Titus	https://www.wikidata.org/wiki/Q1421	cos. design.	2		0071-03		0072-01-01	TRUE	since mid March 71 AD	https://godot.date/id/wUCGmaVyECJfLz5rHueuBH			
Titus	https://www.wikidata.org/wiki/Q1421	cos.	2		0072-01-01	0072-04	0073-03			https://godot.date/id/gn69tD63zMCBxtMFxC9wg4	https://godot.date/id/iXQxs2PjpRsTrWYz3HicWY		
Titus	https://www.wikidata.org/wiki/Q1421	cos. design.	3		0073-03		0074-01-01	TRUE	since mid March 73 AD	https://godot.date/id/NeNcfjW3HuQpLuykdAEuYQ			
Titus	https://www.wikidata.org/wiki/Q1421	cos.	3		0074-01-01	0074-04-30	0074-03			https://godot.date/id/ECZ6Wsb8kmfy5hjPrvNHnA	https://godot.date/id/oGmdmogCnQSL5v9SysBkiZ ; https://godot.date/id/F2YGSKAG7thpjGVBYEYhw3 ; https://godot.date/id/6mdfQerYdeiMCXoqGkfvsg		
Titus	https://www.wikidata.org/wiki/Q1421	cos. design.	4		0074-03		0075-01-01	TRUE	since mid March 74 AD	https://godot.date/id/86DVjxe7Loz7i3SXYvkybg			
Titus	https://www.wikidata.org/wiki/Q1421	cos.	4		0075-01-01	0075-02	0075-03	TRUE	until end of February 75 AD	https://godot.date/id/VvK7oqnckTzUwtZppRPEdG	https://godot.date/id/jKCvabXy2uDvv6pdtaZB5Z ; https://godot.date/id/ijAhfbGU7tUGrSv8fzHAVd		
Titus	https://www.wikidata.org/wiki/Q1421	cos. design.	5		0075-03		0076-01-01	TRUE	since mid March 75 AD	https://godot.date/id/gFyXYJYe7uCzjrMgdKFKCg			
Titus	https://www.wikidata.org/wiki/Q1421	cos.	5		0076-01-01	0076-02	0076-03	TRUE	either to the end of February or until end of April 76 AD	https://godot.date/id/BT5nj7siCxsB9ghPzNVTWb	https://godot.date/id/JBUaCL2RZ4N47RXhViXmqM ; https://godot.date/id/UG49t6zaCtDCx2wBXKWBXH		
Titus	https://www.wikidata.org/wiki/Q1421	cos. design.	6		0076-03		0077-01-01	TRUE	since mid March 76 AD	https://godot.date/id/twnhe5kscNqixSJF4JY3SS			
Titus	https://www.wikidata.org/wiki/Q1421	cos.	6		0077-01-01	0077-02	0078-03	TRUE	until end of February 77 AD	https://godot.date/id/zHC9L3AuVdZzHdB6FCBPj3	https://godot.date/id/FPQ3ZKfaoAK7kwQU7tdG6W ; https://godot.date/id/DpqNTUfTtUdkDUT8akX7EW		
Titus	https://www.wikidata.org/wiki/Q1421	cos. design.	7		0078-03		0079-01-01	TRUE	since mid March 78 AD	https://godot.date/id/F5TyXyyWihAwsh7Ajvakk6			
Titus	https://www.wikidata.org/wiki/Q1421	cos.	7		0079-01-01	0079-02	0079-03	TRUE	until end of February 78 AD	https://godot.date/id/ev2kfZertuWvGX94YBi9BU	https://godot.date/id/UqcND4ooSwRQHphKQs6r7X ; https://godot.date/id/gzhnsC87JvvPGZ3pqqsNcS		
Titus	https://www.wikidata.org/wiki/Q1421	cos. design.	8		0079-03		0080-01-01	TRUE	since mid March 79 AD	https://godot.date/id/ZSurdJ2UyvMP7hp8Y7uXDg			
Titus	https://www.wikidata.org/wiki/Q1421	cos.	8		0080-01-01	0080-01-13	0081-03			https://godot.date/id/ocC2rPGUbjxb4uVPvWokZk	https://godot.date/id/HDDPCs4vpafN6P3mBhBqmD		
Titus	https://www.wikidata.org/wiki/Q1421	cos. design.	9		0081-03		0081-09-13	TRUE	since mid March 81 AD	https://godot.date/id/u9yLAhhKHHYPF2T7vsKC5K			
Domitian	https://www.wikidata.org/wiki/Q1423	cos. design.	1		0070-10-01		0071-03			https://godot.date/id/u9eKtaAcxsWqbv4u7ahm7e			
Domitian	https://www.wikidata.org/wiki/Q1423	cos. suff.	1		0071-03	0071-06	0072-03			https://godot.date/id/AdgvtMdJdijdPH9RLNGU9K	https://godot.date/id/Z7CbQMepUfR7J9tdzwTyRX ; https://godot.date/id/JXkemtCNeXbQYpMscATFVm		
Domitian	https://www.wikidata.org/wiki/Q1423	cos. design.	2		0072-03		0073-01-01	TRUE	since mid March 72 AD	https://godot.date/id/esRjYYMNt45fhSKHN2459E			
Domitian	https://www.wikidata.org/wiki/Q1423	cos.	2		0073-01-01	0073-02	0074-03		until end of February 73 AD	https://godot.date/id/mcSLgHwveQs9esk3GrtyTX	https://godot.date/id/JYKQGm56iQyBzhrmN452JX		
Domitian	https://www.wikidata.org/wiki/Q1423	cos. design.	3		0074-03		0075-03-01	TRUE	since mid March 74 AD	https://godot.date/id/ui2mLT8rWoSFpB63cZLvhH			
Domitian	https://www.wikidata.org/wiki/Q1423	cos. suff.	3		0075-03-01	0075-04-30	0075-03	TRUE		https://godot.date/id/JTAQYwhFkhegAPrzfszPrM	https://godot.date/id/ijAhfbGU7tUGrSv8fzHAVd ; https://godot.date/id/7ygCFGyXRqF27QyHQ6rEVc		
Domitian	https://www.wikidata.org/wiki/Q1423	cos. design.	4		0075-03		0076-01-13	TRUE	since mid March 75 AD	https://godot.date/id/STdQ78qywXEKRPUJyWWseH			
Domitian	https://www.wikidata.org/wiki/Q1423	cos. suff.	4		0076-01-13	0076-02	0076-03	TRUE	either to the end of February or until end of April 76 AD	https://godot.date/id/jtac6RGXjbzfVkRhsnKaqW	https://godot.date/id/UG49t6zaCtDCx2wBXKWBXH		
Domitian	https://www.wikidata.org/wiki/Q1423	cos. design.	5		0076-03		0077-01-13	TRUE	since mid March 76 AD	https://godot.date/id/LsqwPPUPD4X6VH3fByoUB7			
Domitian	https://www.wikidata.org/wiki/Q1423	cos. suff.	5		0077-01-13	0077-02	0078-03	TRUE	either to the end of February or until end of April 77 AD	https://godot.date/id/wm9bWhgKNKKV8tUcapTYwM	https://godot.date/id/DpqNTUfTtUdkDUT8akX7EW		
Domitian	https://www.wikidata.org/wiki/Q1423	cos. design.	6		0078-03		0079-01-13	TRUE	since mid March 78 AD	https://godot.date/id/KryxDnGKRgNTkCZp2fsgYN			
Domitian	https://www.wikidata.org/wiki/Q1423	cos. suff.	6		0079-01-13	0079-02	0079-03		until end of February 79 AD	https://godot.date/id/pB4vXGe8Zc3XSbykuxZ7Xm	https://godot.date/id/gzhnsC87JvvPGZ3pqqsNcS		
